date,value,saved as: globalTempMonthly.csv
1/1/1880,-0.17,
2/1/1880,-0.23,
3/1/1880,-0.08,
4/1/1880,-0.15,
5/1/1880,-0.09,
6/1/1880,-0.2,
7/1/1880,-0.17,
8/1/1880,-0.09,
9/1/1880,-0.14,
10/1/1880,-0.22,
11/1/1880,-0.21,
12/1/1880,-0.16,
1/1/1881,-0.18,
2/1/1881,-0.13,
3/1/1881,0.04,
4/1/1881,0.06,
5/1/1881,0.07,
6/1/1881,-0.17,
7/1/1881,0.01,
8/1/1881,-0.02,
9/1/1881,-0.14,
10/1/1881,-0.2,
11/1/1881,-0.17,
12/1/1881,-0.06,
1/1/1882,0.18,
2/1/1882,0.15,
3/1/1882,0.06,
4/1/1882,-0.15,
5/1/1882,-0.14,
6/1/1882,-0.22,
7/1/1882,-0.15,
8/1/1882,-0.06,
9/1/1882,-0.14,
10/1/1882,-0.23,
11/1/1882,-0.15,
12/1/1882,-0.35,
1/1/1883,-0.28,
2/1/1883,-0.36,
3/1/1883,-0.12,
4/1/1883,-0.18,
5/1/1883,-0.17,
6/1/1883,-0.06,
7/1/1883,-0.07,
8/1/1883,-0.13,
9/1/1883,-0.21,
10/1/1883,-0.11,
11/1/1883,-0.23,
12/1/1883,-0.1,
1/1/1884,-0.12,
2/1/1884,-0.08,
3/1/1884,-0.36,
4/1/1884,-0.39,
5/1/1884,-0.34,
6/1/1884,-0.34,
7/1/1884,-0.32,
8/1/1884,-0.27,
9/1/1884,-0.27,
10/1/1884,-0.24,
11/1/1884,-0.32,
12/1/1884,-0.3,
1/1/1885,-0.57,
2/1/1885,-0.32,
3/1/1885,-0.25,
4/1/1885,-0.41,
5/1/1885,-0.44,
6/1/1885,-0.42,
7/1/1885,-0.32,
8/1/1885,-0.29,
9/1/1885,-0.27,
10/1/1885,-0.22,
11/1/1885,-0.22,
12/1/1885,-0.08,
1/1/1886,-0.41,
2/1/1886,-0.49,
3/1/1886,-0.41,
4/1/1886,-0.27,
5/1/1886,-0.23,
6/1/1886,-0.33,
7/1/1886,-0.17,
8/1/1886,-0.29,
9/1/1886,-0.22,
10/1/1886,-0.26,
11/1/1886,-0.25,
12/1/1886,-0.23,
1/1/1887,-0.7,
2/1/1887,-0.55,
3/1/1887,-0.34,
4/1/1887,-0.33,
5/1/1887,-0.29,
6/1/1887,-0.23,
7/1/1887,-0.24,
8/1/1887,-0.33,
9/1/1887,-0.24,
10/1/1887,-0.34,
11/1/1887,-0.24,
12/1/1887,-0.32,
1/1/1888,-0.32,
2/1/1888,-0.34,
3/1/1888,-0.39,
4/1/1888,-0.19,
5/1/1888,-0.21,
6/1/1888,-0.16,
7/1/1888,-0.09,
8/1/1888,-0.14,
9/1/1888,-0.11,
10/1/1888,0.03,
11/1/1888,0.05,
12/1/1888,-0.03,
1/1/1889,-0.07,
2/1/1889,0.19,
3/1/1889,0.07,
4/1/1889,0.11,
5/1/1889,0,
6/1/1889,-0.09,
7/1/1889,-0.06,
8/1/1889,-0.19,
9/1/1889,-0.23,
10/1/1889,-0.24,
11/1/1889,-0.32,
12/1/1889,-0.28,
1/1/1890,-0.41,
2/1/1890,-0.45,
3/1/1890,-0.39,
4/1/1890,-0.28,
5/1/1890,-0.39,
6/1/1890,-0.23,
7/1/1890,-0.27,
8/1/1890,-0.38,
9/1/1890,-0.35,
10/1/1890,-0.24,
11/1/1890,-0.43,
12/1/1890,-0.3,
1/1/1891,-0.32,
2/1/1891,-0.46,
3/1/1891,-0.17,
4/1/1891,-0.26,
5/1/1891,-0.15,
6/1/1891,-0.2,
7/1/1891,-0.17,
8/1/1891,-0.16,
9/1/1891,-0.15,
10/1/1891,-0.21,
11/1/1891,-0.3,
12/1/1891,-0.03,
1/1/1892,-0.27,
2/1/1892,-0.09,
3/1/1892,-0.39,
4/1/1892,-0.32,
5/1/1892,-0.23,
6/1/1892,-0.21,
7/1/1892,-0.31,
8/1/1892,-0.26,
9/1/1892,-0.15,
10/1/1892,-0.13,
11/1/1892,-0.41,
12/1/1892,-0.37,
1/1/1893,-0.8,
2/1/1893,-0.55,
3/1/1893,-0.21,
4/1/1893,-0.26,
5/1/1893,-0.34,
6/1/1893,-0.25,
7/1/1893,-0.13,
8/1/1893,-0.24,
9/1/1893,-0.22,
10/1/1893,-0.18,
11/1/1893,-0.18,
12/1/1893,-0.31,
1/1/1894,-0.51,
2/1/1894,-0.28,
3/1/1894,-0.22,
4/1/1894,-0.44,
5/1/1894,-0.3,
6/1/1894,-0.39,
7/1/1894,-0.23,
8/1/1894,-0.23,
9/1/1894,-0.27,
10/1/1894,-0.22,
11/1/1894,-0.24,
12/1/1894,-0.2,
1/1/1895,-0.39,
2/1/1895,-0.41,
3/1/1895,-0.31,
4/1/1895,-0.2,
5/1/1895,-0.26,
6/1/1895,-0.19,
7/1/1895,-0.16,
8/1/1895,-0.16,
9/1/1895,-0.11,
10/1/1895,-0.1,
11/1/1895,-0.15,
12/1/1895,-0.12,
1/1/1896,-0.21,
2/1/1896,-0.12,
3/1/1896,-0.25,
4/1/1896,-0.29,
5/1/1896,-0.15,
6/1/1896,-0.1,
7/1/1896,-0.02,
8/1/1896,-0.04,
9/1/1896,-0.06,
10/1/1896,0.08,
11/1/1896,-0.03,
12/1/1896,-0.03,
1/1/1897,-0.14,
2/1/1897,-0.16,
3/1/1897,-0.12,
4/1/1897,-0.01,
5/1/1897,0,
6/1/1897,-0.1,
7/1/1897,-0.02,
8/1/1897,-0.09,
9/1/1897,-0.08,
10/1/1897,-0.11,
11/1/1897,-0.17,
12/1/1897,-0.19,
1/1/1898,0,
2/1/1898,-0.28,
3/1/1898,-0.49,
4/1/1898,-0.29,
5/1/1898,-0.29,
6/1/1898,-0.17,
7/1/1898,-0.21,
8/1/1898,-0.25,
9/1/1898,-0.2,
10/1/1898,-0.33,
11/1/1898,-0.37,
12/1/1898,-0.22,
1/1/1899,-0.15,
2/1/1899,-0.38,
3/1/1899,-0.35,
4/1/1899,-0.2,
5/1/1899,-0.23,
6/1/1899,-0.31,
7/1/1899,-0.15,
8/1/1899,-0.07,
9/1/1899,-0.04,
10/1/1899,-0.03,
11/1/1899,0.14,
12/1/1899,-0.25,
1/1/1900,-0.34,
2/1/1900,-0.04,
3/1/1900,0.02,
4/1/1900,-0.08,
5/1/1900,-0.08,
6/1/1900,-0.09,
7/1/1900,-0.12,
8/1/1900,-0.08,
9/1/1900,-0.04,
10/1/1900,0.11,
11/1/1900,-0.05,
12/1/1900,-0.05,
1/1/1901,-0.21,
2/1/1901,-0.1,
3/1/1901,0.07,
4/1/1901,-0.01,
5/1/1901,-0.14,
6/1/1901,-0.11,
7/1/1901,-0.14,
8/1/1901,-0.2,
9/1/1901,-0.22,
10/1/1901,-0.28,
11/1/1901,-0.16,
12/1/1901,-0.26,
1/1/1902,-0.17,
2/1/1902,-0.06,
3/1/1902,-0.28,
4/1/1902,-0.28,
5/1/1902,-0.32,
6/1/1902,-0.3,
7/1/1902,-0.28,
8/1/1902,-0.29,
9/1/1902,-0.29,
10/1/1902,-0.28,
11/1/1902,-0.35,
12/1/1902,-0.41,
1/1/1903,-0.23,
2/1/1903,-0.05,
3/1/1903,-0.22,
4/1/1903,-0.4,
5/1/1903,-0.39,
6/1/1903,-0.41,
7/1/1903,-0.35,
8/1/1903,-0.44,
9/1/1903,-0.49,
10/1/1903,-0.48,
11/1/1903,-0.42,
12/1/1903,-0.5,
1/1/1904,-0.63,
2/1/1904,-0.57,
3/1/1904,-0.48,
4/1/1904,-0.5,
5/1/1904,-0.51,
6/1/1904,-0.48,
7/1/1904,-0.5,
8/1/1904,-0.48,
9/1/1904,-0.55,
10/1/1904,-0.38,
11/1/1904,-0.17,
12/1/1904,-0.32,
1/1/1905,-0.34,
2/1/1905,-0.58,
3/1/1905,-0.21,
4/1/1905,-0.33,
5/1/1905,-0.29,
6/1/1905,-0.28,
7/1/1905,-0.26,
8/1/1905,-0.19,
9/1/1905,-0.19,
10/1/1905,-0.24,
11/1/1905,-0.06,
12/1/1905,-0.12,
1/1/1906,-0.28,
2/1/1906,-0.29,
3/1/1906,-0.18,
4/1/1906,-0.05,
5/1/1906,-0.25,
6/1/1906,-0.2,
7/1/1906,-0.23,
8/1/1906,-0.2,
9/1/1906,-0.28,
10/1/1906,-0.2,
11/1/1906,-0.37,
12/1/1906,-0.14,
1/1/1907,-0.43,
2/1/1907,-0.51,
3/1/1907,-0.27,
4/1/1907,-0.37,
5/1/1907,-0.46,
6/1/1907,-0.41,
7/1/1907,-0.35,
8/1/1907,-0.34,
9/1/1907,-0.34,
10/1/1907,-0.22,
11/1/1907,-0.46,
12/1/1907,-0.46,
1/1/1908,-0.44,
2/1/1908,-0.32,
3/1/1908,-0.55,
4/1/1908,-0.44,
5/1/1908,-0.37,
6/1/1908,-0.37,
7/1/1908,-0.35,
8/1/1908,-0.45,
9/1/1908,-0.36,
10/1/1908,-0.44,
11/1/1908,-0.51,
12/1/1908,-0.48,
1/1/1909,-0.72,
2/1/1909,-0.45,
3/1/1909,-0.54,
4/1/1909,-0.58,
5/1/1909,-0.54,
6/1/1909,-0.51,
7/1/1909,-0.45,
8/1/1909,-0.33,
9/1/1909,-0.39,
10/1/1909,-0.39,
11/1/1909,-0.31,
12/1/1909,-0.56,
1/1/1910,-0.41,
2/1/1910,-0.41,
3/1/1910,-0.5,
4/1/1910,-0.42,
5/1/1910,-0.34,
6/1/1910,-0.38,
7/1/1910,-0.34,
8/1/1910,-0.36,
9/1/1910,-0.39,
10/1/1910,-0.41,
11/1/1910,-0.54,
12/1/1910,-0.67,
1/1/1911,-0.62,
2/1/1911,-0.57,
3/1/1911,-0.61,
4/1/1911,-0.53,
5/1/1911,-0.51,
6/1/1911,-0.49,
7/1/1911,-0.41,
8/1/1911,-0.43,
9/1/1911,-0.41,
10/1/1911,-0.26,
11/1/1911,-0.2,
12/1/1911,-0.2,
1/1/1912,-0.25,
2/1/1912,-0.14,
3/1/1912,-0.37,
4/1/1912,-0.17,
5/1/1912,-0.21,
6/1/1912,-0.23,
7/1/1912,-0.42,
8/1/1912,-0.54,
9/1/1912,-0.58,
10/1/1912,-0.57,
11/1/1912,-0.38,
12/1/1912,-0.43,
1/1/1913,-0.4,
2/1/1913,-0.45,
3/1/1913,-0.42,
4/1/1913,-0.39,
5/1/1913,-0.44,
6/1/1913,-0.45,
7/1/1913,-0.36,
8/1/1913,-0.33,
9/1/1913,-0.35,
10/1/1913,-0.31,
11/1/1913,-0.19,
12/1/1913,-0.01,
1/1/1914,0.04,
2/1/1914,-0.09,
3/1/1914,-0.23,
4/1/1914,-0.29,
5/1/1914,-0.21,
6/1/1914,-0.26,
7/1/1914,-0.24,
8/1/1914,-0.16,
9/1/1914,-0.17,
10/1/1914,-0.03,
11/1/1914,-0.15,
12/1/1914,-0.03,
1/1/1915,-0.19,
2/1/1915,-0.03,
3/1/1915,-0.09,
4/1/1915,0.06,
5/1/1915,-0.06,
6/1/1915,-0.21,
7/1/1915,-0.12,
8/1/1915,-0.22,
9/1/1915,-0.2,
10/1/1915,-0.24,
11/1/1915,-0.12,
12/1/1915,-0.21,
1/1/1916,-0.12,
2/1/1916,-0.14,
3/1/1916,-0.28,
4/1/1916,-0.3,
5/1/1916,-0.34,
6/1/1916,-0.49,
7/1/1916,-0.37,
8/1/1916,-0.28,
9/1/1916,-0.36,
10/1/1916,-0.33,
11/1/1916,-0.46,
12/1/1916,-0.82,
1/1/1917,-0.57,
2/1/1917,-0.63,
3/1/1917,-0.63,
4/1/1917,-0.54,
5/1/1917,-0.55,
6/1/1917,-0.43,
7/1/1917,-0.25,
8/1/1917,-0.22,
9/1/1917,-0.23,
10/1/1917,-0.44,
11/1/1917,-0.33,
12/1/1917,-0.66,
1/1/1918,-0.46,
2/1/1918,-0.34,
3/1/1918,-0.24,
4/1/1918,-0.43,
5/1/1918,-0.43,
6/1/1918,-0.36,
7/1/1918,-0.31,
8/1/1918,-0.31,
9/1/1918,-0.17,
10/1/1918,-0.06,
11/1/1918,-0.11,
12/1/1918,-0.29,
1/1/1919,-0.2,
2/1/1919,-0.24,
3/1/1919,-0.21,
4/1/1919,-0.12,
5/1/1919,-0.28,
6/1/1919,-0.36,
7/1/1919,-0.29,
8/1/1919,-0.32,
9/1/1919,-0.25,
10/1/1919,-0.2,
11/1/1919,-0.41,
12/1/1919,-0.41,
1/1/1920,-0.24,
2/1/1920,-0.26,
3/1/1920,-0.12,
4/1/1920,-0.24,
5/1/1920,-0.26,
6/1/1920,-0.35,
7/1/1920,-0.3,
8/1/1920,-0.26,
9/1/1920,-0.22,
10/1/1920,-0.27,
11/1/1920,-0.26,
12/1/1920,-0.46,
1/1/1921,-0.04,
2/1/1921,-0.17,
3/1/1921,-0.23,
4/1/1921,-0.3,
5/1/1921,-0.3,
6/1/1921,-0.27,
7/1/1921,-0.15,
8/1/1921,-0.26,
9/1/1921,-0.19,
10/1/1921,-0.03,
11/1/1921,-0.13,
12/1/1921,-0.17,
1/1/1922,-0.32,
2/1/1922,-0.44,
3/1/1922,-0.14,
4/1/1922,-0.23,
5/1/1922,-0.33,
6/1/1922,-0.3,
7/1/1922,-0.27,
8/1/1922,-0.32,
9/1/1922,-0.36,
10/1/1922,-0.33,
11/1/1922,-0.14,
12/1/1922,-0.18,
1/1/1923,-0.28,
2/1/1923,-0.39,
3/1/1923,-0.34,
4/1/1923,-0.4,
5/1/1923,-0.33,
6/1/1923,-0.29,
7/1/1923,-0.31,
8/1/1923,-0.33,
9/1/1923,-0.31,
10/1/1923,-0.13,
11/1/1923,-0.02,
12/1/1923,-0.04,
1/1/1924,-0.23,
2/1/1924,-0.24,
3/1/1924,-0.08,
4/1/1924,-0.31,
5/1/1924,-0.18,
6/1/1924,-0.26,
7/1/1924,-0.29,
8/1/1924,-0.36,
9/1/1924,-0.32,
10/1/1924,-0.35,
11/1/1924,-0.21,
12/1/1924,-0.43,
1/1/1925,-0.39,
2/1/1925,-0.4,
3/1/1925,-0.28,
4/1/1925,-0.25,
5/1/1925,-0.29,
6/1/1925,-0.32,
7/1/1925,-0.26,
8/1/1925,-0.2,
9/1/1925,-0.2,
10/1/1925,-0.17,
11/1/1925,0.05,
12/1/1925,0.06,
1/1/1926,0.2,
2/1/1926,0.02,
3/1/1926,0.1,
4/1/1926,-0.12,
5/1/1926,-0.24,
6/1/1926,-0.26,
7/1/1926,-0.27,
8/1/1926,-0.13,
9/1/1926,-0.14,
10/1/1926,-0.11,
11/1/1926,-0.06,
12/1/1926,-0.29,
1/1/1927,-0.27,
2/1/1927,-0.18,
3/1/1927,-0.39,
4/1/1927,-0.3,
5/1/1927,-0.25,
6/1/1927,-0.27,
7/1/1927,-0.19,
8/1/1927,-0.24,
9/1/1927,-0.13,
10/1/1927,-0.01,
11/1/1927,-0.06,
12/1/1927,-0.33,
1/1/1928,-0.01,
2/1/1928,-0.09,
3/1/1928,-0.25,
4/1/1928,-0.28,
5/1/1928,-0.3,
6/1/1928,-0.38,
7/1/1928,-0.19,
8/1/1928,-0.22,
9/1/1928,-0.22,
10/1/1928,-0.19,
11/1/1928,-0.08,
12/1/1928,-0.16,
1/1/1929,-0.45,
2/1/1929,-0.59,
3/1/1929,-0.33,
4/1/1929,-0.41,
5/1/1929,-0.38,
6/1/1929,-0.43,
7/1/1929,-0.37,
8/1/1929,-0.32,
9/1/1929,-0.25,
10/1/1929,-0.14,
11/1/1929,-0.11,
12/1/1929,-0.54,
1/1/1930,-0.29,
2/1/1930,-0.27,
3/1/1930,-0.11,
4/1/1930,-0.25,
5/1/1930,-0.24,
6/1/1930,-0.22,
7/1/1930,-0.21,
8/1/1930,-0.15,
9/1/1930,-0.15,
10/1/1930,-0.11,
11/1/1930,0.18,
12/1/1930,-0.05,
1/1/1931,-0.1,
2/1/1931,-0.2,
3/1/1931,-0.1,
4/1/1931,-0.22,
5/1/1931,-0.19,
6/1/1931,-0.08,
7/1/1931,-0.03,
8/1/1931,-0.03,
9/1/1931,-0.07,
10/1/1931,0.05,
11/1/1931,-0.05,
12/1/1931,-0.05,
1/1/1932,0.15,
2/1/1932,-0.17,
3/1/1932,-0.18,
4/1/1932,-0.05,
5/1/1932,-0.17,
6/1/1932,-0.28,
7/1/1932,-0.25,
8/1/1932,-0.21,
9/1/1932,-0.1,
10/1/1932,-0.09,
11/1/1932,-0.27,
12/1/1932,-0.25,
1/1/1933,-0.23,
2/1/1933,-0.29,
3/1/1933,-0.29,
4/1/1933,-0.24,
5/1/1933,-0.29,
6/1/1933,-0.34,
7/1/1933,-0.21,
8/1/1933,-0.23,
9/1/1933,-0.29,
10/1/1933,-0.25,
11/1/1933,-0.3,
12/1/1933,-0.44,
1/1/1934,-0.21,
2/1/1934,-0.03,
3/1/1934,-0.29,
4/1/1934,-0.3,
5/1/1934,-0.09,
6/1/1934,-0.15,
7/1/1934,-0.11,
8/1/1934,-0.12,
9/1/1934,-0.15,
10/1/1934,-0.06,
11/1/1934,0.04,
12/1/1934,-0.02,
1/1/1935,-0.33,
2/1/1935,0.14,
3/1/1935,-0.14,
4/1/1935,-0.37,
5/1/1935,-0.29,
6/1/1935,-0.27,
7/1/1935,-0.22,
8/1/1935,-0.22,
9/1/1935,-0.22,
10/1/1935,-0.05,
11/1/1935,-0.26,
12/1/1935,-0.17,
1/1/1936,-0.27,
2/1/1936,-0.38,
3/1/1936,-0.21,
4/1/1936,-0.2,
5/1/1936,-0.17,
6/1/1936,-0.22,
7/1/1936,-0.1,
8/1/1936,-0.13,
9/1/1936,-0.09,
10/1/1936,-0.03,
11/1/1936,0.01,
12/1/1936,-0.01,
1/1/1937,-0.07,
2/1/1937,0.03,
3/1/1937,-0.2,
4/1/1937,-0.16,
5/1/1937,-0.05,
6/1/1937,-0.05,
7/1/1937,-0.04,
8/1/1937,0.02,
9/1/1937,0.09,
10/1/1937,0.09,
11/1/1937,0.09,
12/1/1937,-0.07,
1/1/1938,0.08,
2/1/1938,0.03,
3/1/1938,0.09,
4/1/1938,0.06,
5/1/1938,-0.1,
6/1/1938,-0.17,
7/1/1938,-0.09,
8/1/1938,-0.05,
9/1/1938,0,
10/1/1938,0.15,
11/1/1938,0.08,
12/1/1938,-0.13,
1/1/1939,-0.05,
2/1/1939,-0.06,
3/1/1939,-0.17,
4/1/1939,-0.09,
5/1/1939,-0.04,
6/1/1939,-0.07,
7/1/1939,-0.05,
8/1/1939,-0.06,
9/1/1939,-0.07,
10/1/1939,-0.03,
11/1/1939,0.08,
12/1/1939,0.44,
1/1/1940,0,
2/1/1940,0.09,
3/1/1940,0.1,
4/1/1940,0.18,
5/1/1940,0.11,
6/1/1940,0.12,
7/1/1940,0.12,
8/1/1940,0.07,
9/1/1940,0.16,
10/1/1940,0.12,
11/1/1940,0.17,
12/1/1940,0.32,
1/1/1941,0.19,
2/1/1941,0.31,
3/1/1941,0.1,
4/1/1941,0.17,
5/1/1941,0.17,
6/1/1941,0.13,
7/1/1941,0.22,
8/1/1941,0.15,
9/1/1941,0.02,
10/1/1941,0.35,
11/1/1941,0.23,
12/1/1941,0.22,
1/1/1942,0.3,
2/1/1942,0.03,
3/1/1942,0.05,
4/1/1942,0.1,
5/1/1942,0.11,
6/1/1942,0.05,
7/1/1942,0.01,
8/1/1942,-0.03,
9/1/1942,-0.03,
10/1/1942,0.02,
11/1/1942,0.1,
12/1/1942,0.13,
1/1/1943,-0.01,
2/1/1943,0.17,
3/1/1943,-0.03,
4/1/1943,0.11,
5/1/1943,0.06,
6/1/1943,-0.05,
7/1/1943,0.09,
8/1/1943,0.01,
9/1/1943,0.05,
10/1/1943,0.23,
11/1/1943,0.2,
12/1/1943,0.24,
1/1/1944,0.36,
2/1/1944,0.24,
3/1/1944,0.26,
4/1/1944,0.19,
5/1/1944,0.18,
6/1/1944,0.16,
7/1/1944,0.18,
8/1/1944,0.18,
9/1/1944,0.28,
10/1/1944,0.26,
11/1/1944,0.11,
12/1/1944,0.04,
1/1/1945,0.1,
2/1/1945,0,
3/1/1945,0.06,
4/1/1945,0.19,
5/1/1945,0.05,
6/1/1945,0.01,
7/1/1945,0.04,
8/1/1945,0.26,
9/1/1945,0.2,
10/1/1945,0.18,
11/1/1945,0.07,
12/1/1945,-0.07,
1/1/1946,0.15,
2/1/1946,0.03,
3/1/1946,0.01,
4/1/1946,0.05,
5/1/1946,-0.07,
6/1/1946,-0.21,
7/1/1946,-0.12,
8/1/1946,-0.2,
9/1/1946,-0.08,
10/1/1946,-0.08,
11/1/1946,-0.05,
12/1/1946,-0.31,
1/1/1947,-0.06,
2/1/1947,-0.08,
3/1/1947,0.06,
4/1/1947,0.06,
5/1/1947,-0.02,
6/1/1947,-0.02,
7/1/1947,-0.04,
8/1/1947,-0.07,
9/1/1947,-0.13,
10/1/1947,0.07,
11/1/1947,0.03,
12/1/1947,-0.13,
1/1/1948,0.07,
2/1/1948,-0.15,
3/1/1948,-0.25,
4/1/1948,-0.12,
5/1/1948,-0.01,
6/1/1948,-0.05,
